monitored and supported by local public health authorities.",https://www.canada.ca/en/public-health/news/2026/05/speaking-remarks-for-the-chief-public-health-officer.html
2026-06-10,"Six staff members at Radboudumc were classified as low risk, and their quarantine was lifted.",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2026.31.24.2600477
2026-06-18,"RIVM reports that the quarantine period for nearly all MV Hondius passengers and crew has ended. Individuals were quarantined at home or at a facility for 42 days, with quarantine beginning on May 6. All individuals were re-tested prior to exiting quarantine, and all tested negative. Crew members will return to their home countries. One individual remains in quarantine, and was a close-contact of a person who was later hospitalized with ANDV.   ",https://www.rivm.nl/en/hantavirus/current-information
2026-06-18,"42-day monitoring period of individuals on planes has been completed. Contacts of cases, including individuals on planes, airport staff and healthcare workers were identified and underwent monitoring. No cases were reported among passengers or personnel identified as contacts on flights.",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2026.31.24.2600477
2026-06-21,French Ministry of Health reports that the isolation period for four French passengers of the MV Hondius has ended. All French passengers had previously tested negative and were hospitalized for their isolation. Return home will be coordinated by Regional Health Agencies (ARS) and the Health Crisis Centre of the Ministry of Health.,https://sante.gouv.fr/actualites-presse/actualites-du-ministere/article/cas-d-hantavirus-a-bord-du-navire-mv-hondius-suivez-la-situation-en-direct
2026-06-21,"French Ministry of Health reports that Case 9 (Gh_ID15) has recovered from the hantavirus infection, but remains in intensive care.",https://sante.gouv.fr/actualites-presse/actualites-du-ministere/article/cas-d-hantavirus-a-bord-du-navire-mv-hondius-suivez-la-situation-en-direct
2026-06-21,"The quarantine period for US passengers aboard the MV Hondius has ended, as announced by US Department of Health and Human Services (HHS). No new cases were reported among US passengers.",https://www.hhs.gov/press-room/hhs-concludes-hantavirus-response-hondius-cruise-ship.html
2026-06-22,"UKHSA officials announce that all individuals remaining at Arrowe Park have left, and all passengers returning to the UK aboard the MV Hondius have completed their isolation period.",https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
2026-06-22,Spain's Ministry of Health reports that the 12 Spanish nationals who were aboard the MV Hondius have completed their 42-day quarantine period.,https://www.sanidad.gob.es/areas/alertasEmergenciasSanitarias/alertasActuales/hantavirus/docs/20260622_informe_CIERRE_HANTAVIRUS.pdf
2026-06-22,Spain's Ministry of Health reports that Case 13 (Gh_ID24) has recovered and been discharged from Gomez Ulla Hospital. ,https://www.sanidad.gob.es/areas/alertasEmergenciasSanitarias/alertasActuales/hantavirus/docs/20260622_informe_CIERRE_HANTAVIRUS.pdf
2026-06-22,"Four Australian citizens, one permanent resident, and one New Zealand citizen who were passengers aboard the MV Hondius were released from a Perth, Australia quarantine facility. All consistently tested negative. ",https://www.abc.net.au/news/2026-06-23/hantavirus-outbreak-six-passengers-complete-perth-quarantine/106829038
2026-07-02,"WHO reports that all identified contacts of cases have completed the 42 day follow-up period, and the outbreak has been contained. 317 high risk contacts completed quarantine and monitoring by local health authorities. 336 low risk contacts completed self monitoring. The completion of contact follow up without detection of additional secondary cases was effective at interrupting the transmission of the virus. They state that the outbreak no longer poses a public health risk and no further related transmission is expected.",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON611
