monitored and supported by local public health authorities.",https://www.canada.ca/en/public-health/news/2026/05/speaking-remarks-for-the-chief-public-health-officer.html
2026-05-12,"The third Netherlands flight carrying passengers and crew from the ship arrives.  All those who had been on board the ship are to remain at home or at a quarantine location for a period of 42 days, which started on 6 May.",https://www.rivm.nl/en/hantavirus/current-information
2026-05-12,"Test results were negative for all 26 people including 8 Dutch passengers on the first Netherlands repatriation flight. Regardless of the test results, the repatriated Dutch passengers are subject to mandatory home quarantine for 6 weeks. ",https://www.rivm.nl/en/hantavirus/current-information
2026-05-12,UKHSA reports that they will support the relocation of some contacts who are already isolating to places they can safely self-isolate with access to appropriate medical services. This includes 10 people from Saint Helena and Ascension Island (UK overseas territories). These individuals are currently not symptomatic and this is precautionary to support communities in UK overseas territories. Arrangements are also being made for a small number of individuals currently isolating in England at home or elsewhere to be assessed at Arrowe Park.,https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
2026-05-13,"WHO reports, as of May 13, a total of 11 cases, including three deaths (CFR 27%). Eight cases were laboratory-confirmed for Andes virus (ANDV) infection, two are probable, and one case remains inconclusive and undergoing further testing.",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON601
2026-05-13,"WHO reports that preliminary sequencing of cases indicates high degree of genetic similarity, with no more than one single nucleotide polymorphism difference per individual, which strongly suggests that the outbreak is from a single zoonotic spillover event, or a very small number of closely related spillover events. ",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON601
2026-05-13,"Doctor's for Gh_ID15 report patient is in critical condition at a Paris hospital, and is currently being treated with an artificial lung, noting the patient has a severe form of the disease that has caused life-threatening lung and heart problems.",https://www.pbs.org/newshour/health/critically-ill-french-hantavirus-patient-is-on-an-artificial-lung-as-outbreak-grows-to-11
2026-05-13,"UKHSA reports that six individuals from Arrowe Park are returning home or to other suitable accomodation to complete their 45 day isolation period. These individuals have tested negative via PCR, and they will be provided tailored support packages to enable them to isolate at home. All contacts remaining at Arrowe Park are asymptomatic and have tested negative for hantavirus. ",https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
2026-05-13,"UKHSA reports that medical staff on Ascension island have confirmed that one contact, a medic, has developed symptoms. Samples from this individual were taken to the UK on May 8 and tested negative. Testing to establish whether this is an unrelated illness are underway.",https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
2026-05-14,"Gh_ID16, a US passenger who previously tested ""mildly"" or ""faintly"" positive, now tests negative for hantavirus and was moved from the biocontainment unit in Nebraska to the quarantine unit with the other 15 American passengers. Reportedly, he is a physician and helped care for sick passengers on the ship, before he developed a ""flu-like illness."" Blood results are still pending. ",https://www.cnn.com/2026/05/13/health/hantavirus-doctor-biocontainment-nebraska
2026-05-14,"U.S. health officials said 41 people, including the 18 quarantined in Nebraska and Atlanta, are being monitored for possible infection. CDC reported that they are tracking three exposure groups: repatriated passengers, travelers who returned home before the outbreak was identified, and in-flight contacts who were exposed to symptomatic cases. ",https://x.com/CDCgov/status/2055071682570956852
2026-05-14,"Canada's Chief Public Health Officer said an additional 26 people are considered low-risk contacts after flying on a plane with a confirmed hantavirus case and will be monitored throughout the at-risk period. This brings the total number of Canadians being monitored to 36 (including nine high-risk contacts, six of whom were passengers on the ship). The total also includes one person now deemed low-risk after previously being identified as high-risk.",https://www.cbc.ca/news/canada/hantavirus-canada-outbreak-exposure-9.7199706
2026-05-14,"WHO reports that follow-up and contact tracing for all contacts of hantavirus cases linked to the cruise ship is ongoing. 440 contacts have been identified and are under quarantine or health monitoring in at least 30 countries and territories. These include 30 passengers (excluding those classified as cases) who disembareked the ship between April 14-27 before the outbreak was detected (April 24 at Saint Helena , April 27 at Ascension); 120 passengers and crew who disembarked after the detection of the outbreak; 25 crew members and 2 doctors who remained on the ship heading to Rotterdam; passengers on two fights who were in contact with Case 2 (Gh_ID2); and additional contacts of confirmed and probable cases (Case 2 (Gh_ID2), Case 3 (Gh_ID3), Case 7 (Gh_ID5) and Case 8 (Gh_ID12)) including health care workers, airport and port health officials, security personnel, cleaners and other close contacts.",https://www.who.int/publications/m/item/who-rapid-risk-assessment---hantavirus-outbreak-caused-by-andes-virus--global-v.2
2026-05-14,"The French Health Minister reported that all 26 French contacts of confirmed cases had tested negative. As a precaution, all 26 individuals were placed in hospital isolation, and will be medically monitored and tested three times a week. Further results will only be communicated in the event of a postive test.",https://x.com/stephanie_rist/status/2054852004032221298
2026-05-14,UKHSA reports that an additional individual is leaving Arrowe Park (six left yesterday) to complete their 45 day isolation period at home. ,https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
2026-05-14,"UKHSA reports that they are supporting the relocation of 9 asymptomatic people from St Helena and Ascension Island to complete their self-isolation, and they will arrive in the UK on May 17. Another contact, a medic on Ascension Island who developed symptoms, will be medically evacuated separately for specialist assessment in the UK. They will be cared for at a High Consequence Infectious Disease Unit in the South of England as a precautionary measure. ",https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
2026-05-15,"During a WHO media briefing on hantavirus, officials revised case numbers from 11 to 10 total cases after a US individual (Gh_ID16), who had an inconclusive test, was later confirmed to be negative. The ten cases (8 confirmed and 2 probable) include three deaths.  ",https://x.com/WHO/status/2055276551210668310
2026-05-15,"CDC reported that they recommend only those that have symptoms get tested. They stated that several state laboratories and Quest Diagnostics can test for hantavirus, specifically the Andes virus, and results from these tests can be turned around in about 24 hours. The University of Nebraska (where US passengers are under quarantine) also offers testing that specifically detects particles of the Andes virus in people.",https://www.cdc.gov/media/releases/2026/transcript-update0515-on-cdcs-hantavirus-response.html
2026-05-15,"Two passengers from the MV Hondius cruise ship were discharged Friday from Emory University hospital’s Serious Communicable Diseases Unit, where they had been evaluated and monitored since Monday (May 11), have since tested negative, and were transferred to the University of Nebraska Medical Center's National Quarantine Unit where they will join 16 others who were evacuated from the ship for continued monitoring.  ",https://www.cbsnews.com/atlanta/news/passengers-on-hantavirus-hit-cruise-ship-moved-from-emory-to-nebraska-hospital/
2026-05-15,"The National Institute for Public Health and the Environment (RIVM) in the Netherlands reported that passengers and crew on the second and third repatriation flights to the Netherlands have all tested negative for the Andes virus. Regardless of the test results, the repatriated Dutch passengers are subject to mandatory home quarantine for 6 weeks. ",https://www.rivm.nl/en/hantavirus/current-information
2026-05-15,"The Australian Centre for Disease Control reported that MV Hondius passengers (four Australian citizens, one permanent Australian resident, and one New Zealand citizen) today landed at RAAF Base Pearce and started their quarantine in the nearby Bullsbrook Centre for National Resilience. Passengers will spend the first 3 weeks of the 42-day quarantine at the Bullsbrook facility. Passengers had transit through the Netherlands before returning home. All 6 returning passengers are well and have tested negative. ",https://www.cdc.gov.au/newsroom/news-and-articles/mv-hondius-passengers-land-australia
